"source_code","source_display","target_code","target_display"
"snomed_261665006","Unknown","261665006","Unknown"
"snomed_734875008","XX","734875008","XX"
"snomed_734876009","XY","734876009","XY"
"snomed_80427008","X0","80427008","X0"
"snomed_65162001","XXY","65162001","XXY"
"snomed_35111009","XXX","35111009","XXX"
"snomed_403760006","XXYY","403760006","XXYY"
"snomed_78317008","XXXY","78317008","XXXY"
"snomed_10567003","XXXX","10567003","XXXX"
"snomed_48930007","XYY","48930007","XYY"
"snomed_74964007","Other","",""